clip_idx,window_idx,start_s,end_s,need_score,speech_density,recommendation,raw_trs
0,0,0.0,2.98,0.4720351619923033,1.0,extended_or_integrated_ad,2
0,1,2.98,5.96,0.1776389662873521,1.0,low_ad_need,2
0,2,5.96,8.94,0.2593183505830911,1.0,low_ad_need,2
0,3,8.94,11.92,0.5841811642054016,1.0,extended_or_integrated_ad,2
0,4,11.92,14.9,0.44880819580610953,1.0,extended_or_integrated_ad,2
1,0,0.0,2.98,0.8527670466409736,1.0,extended_or_integrated_ad,2
1,1,2.98,5.96,0.5235418090457391,1.0,extended_or_integrated_ad,2
1,2,5.96,8.94,0.18687087585133139,1.0,low_ad_need,2
1,3,8.94,11.92,0.03727153451571694,1.0,low_ad_need,2
1,4,11.92,14.9,0.23880076100180544,1.0,low_ad_need,2
1,5,14.9,16.39,0.14096546877151764,1.0,low_ad_need,1
2,0,0.0,2.98,0.15403646112930114,0.0,low_ad_need,2
2,1,2.98,5.96,0.09983628569633009,0.0,low_ad_need,2
2,2,5.96,8.94,0.268343820100517,0.0,low_ad_need,2
2,3,8.94,11.92,0.3680251146682146,0.0,low_ad_need,2
2,4,11.92,14.9,0.6089611467500903,0.0,standard_ad_slot,2
2,5,14.9,17.88,0.6792965291072104,0.0,standard_ad_slot,2
2,6,17.88,20.86,0.8003662052649374,1.0,extended_or_integrated_ad,2
2,7,20.86,23.84,0.3204311138757737,0.0,low_ad_need,2
2,8,23.84,26.82,0.6208395891353169,0.0,standard_ad_slot,2
3,0,0.0,2.98,0.710663123229123,0.5,extended_or_integrated_ad,2
3,1,2.98,5.96,0.39809847246021957,1.0,low_ad_need,2
3,2,5.96,8.94,0.3443262715796949,1.0,low_ad_need,2
3,3,8.94,11.92,0.2808863899568087,0.5,low_ad_need,2
3,4,11.92,14.9,0.31872078898078565,1.0,low_ad_need,2
3,5,14.9,16.39,0.0,1.0,low_ad_need,1
4,0,0.0,2.98,0.5713254998961601,0.5,extended_or_integrated_ad,2
4,1,2.98,5.96,0.4296050975096035,0.5,extended_or_integrated_ad,2
4,2,5.96,8.94,0.028809770421542518,0.0,low_ad_need,2
4,3,8.94,11.92,0.04047911836412005,0.0,low_ad_need,2
4,4,11.92,14.9,0.0774473388880259,0.0,low_ad_need,2
4,5,14.9,17.88,0.13627926500760373,0.5,low_ad_need,2
4,6,17.88,19.37,0.015646589442635743,1.0,low_ad_need,1
5,0,0.0,2.98,0.6669367504852477,1.0,extended_or_integrated_ad,2
5,1,2.98,5.96,0.619522408699223,1.0,extended_or_integrated_ad,2
5,2,5.96,8.94,0.7560088155850923,1.0,extended_or_integrated_ad,2
5,3,8.94,11.92,0.8559741095030897,1.0,extended_or_integrated_ad,2
5,4,11.92,14.9,0.7296038009171194,1.0,extended_or_integrated_ad,2
5,5,14.9,16.39,0.0,1.0,low_ad_need,1
6,0,0.0,2.98,0.7646262287500899,1.0,extended_or_integrated_ad,2
6,1,2.98,5.96,0.25913280269962213,1.0,low_ad_need,2
6,2,5.96,8.94,0.044557834451954346,1.0,low_ad_need,2
6,3,8.94,11.92,0.25302046017473195,1.0,low_ad_need,2
6,4,11.92,14.9,0.5002279658038973,1.0,extended_or_integrated_ad,2
6,5,14.9,17.88,0.5640718500839013,1.0,extended_or_integrated_ad,2
7,0,0.0,2.98,0.1540767968916709,1.0,low_ad_need,2
7,1,2.98,5.96,0.026603690168865525,1.0,low_ad_need,2
7,2,5.96,8.94,0.18805379358481794,1.0,low_ad_need,2
7,3,8.94,11.92,0.548113416568436,1.0,extended_or_integrated_ad,2
7,4,11.92,14.9,0.742762168046048,1.0,extended_or_integrated_ad,2
7,5,14.9,16.39,0.939134955406189,1.0,extended_or_integrated_ad,1
8,0,0.0,2.98,0.7013996488828805,1.0,extended_or_integrated_ad,2
8,1,2.98,5.96,0.7014957045919514,1.0,extended_or_integrated_ad,2
8,2,5.96,8.94,0.2772221628474953,1.0,low_ad_need,2
8,3,8.94,11.92,0.1678785924590325,1.0,low_ad_need,2
8,4,11.92,14.9,0.20276072806012774,1.0,low_ad_need,2
8,5,14.9,16.39,0.06742657721042633,1.0,low_ad_need,1
9,0,0.0,2.98,0.7650085708250683,1.0,extended_or_integrated_ad,2
9,1,2.98,5.96,0.6644298148546941,1.0,extended_or_integrated_ad,2
9,2,5.96,8.94,0.6147746391521982,1.0,extended_or_integrated_ad,2
9,3,8.94,11.92,0.6248812874987871,1.0,extended_or_integrated_ad,2
9,4,11.92,14.9,0.5378420005621354,1.0,extended_or_integrated_ad,2
9,5,14.9,16.39,0.0,1.0,low_ad_need,1
11,0,0.0,2.98,0.5113281260148542,1.0,extended_or_integrated_ad,2
11,1,2.98,5.96,0.32172711114957525,1.0,low_ad_need,2
11,2,5.96,8.94,0.42492800789492824,1.0,extended_or_integrated_ad,2
11,3,8.94,11.92,0.5631864600234457,0.0,standard_ad_slot,2
11,4,11.92,14.9,0.6204962039553747,0.0,standard_ad_slot,2
11,5,14.9,16.39,0.37732169032096863,1.0,low_ad_need,1
12,0,0.0,2.98,0.09024071372950403,0.5,low_ad_need,2
12,1,2.98,5.96,0.1349657341985946,0.0,low_ad_need,2
12,2,5.96,8.94,0.16649799382907815,1.0,low_ad_need,2
12,3,8.94,11.92,0.47796651425419723,0.5,extended_or_integrated_ad,2
12,4,11.92,14.9,0.8208291880667623,0.5,extended_or_integrated_ad,2
12,5,14.9,17.88,0.8755344451155387,0.0,standard_ad_slot,2
12,6,17.88,20.86,0.8448310839474196,0.5,extended_or_integrated_ad,2
12,7,20.86,23.84,0.735211847576222,1.0,extended_or_integrated_ad,2
13,0,0.0,2.98,0.6344394468570758,1.0,extended_or_integrated_ad,2
13,1,2.98,5.96,0.22252055502455065,1.0,low_ad_need,2
13,2,5.96,8.94,0.1628151417977332,1.0,low_ad_need,2
13,3,8.94,11.92,0.5243680056836387,1.0,extended_or_integrated_ad,2
13,4,11.92,14.9,0.3346847425680019,1.0,low_ad_need,2
14,0,0.0,2.98,0.4886847009096419,1.0,extended_or_integrated_ad,2
14,1,2.98,5.96,0.47171627834168306,1.0,extended_or_integrated_ad,2
14,2,5.96,8.94,0.484288898523419,1.0,extended_or_integrated_ad,2
14,3,8.94,11.92,0.13382786112830766,1.0,low_ad_need,2
14,4,11.92,14.9,0.5376238514689752,0.5,extended_or_integrated_ad,2
14,5,14.9,16.39,0.17181773483753204,1.0,low_ad_need,1
15,0,0.0,2.98,0.5108059153297729,1.0,extended_or_integrated_ad,2
15,1,2.98,5.96,0.6141136134833061,1.0,extended_or_integrated_ad,2
15,2,5.96,8.94,0.633079272327266,0.5,extended_or_integrated_ad,2
15,3,8.94,11.92,0.5706195456395662,0.5,extended_or_integrated_ad,2
15,4,11.92,14.9,0.7493147206590085,0.0,standard_ad_slot,2
15,5,14.9,16.39,0.0,0.0,low_ad_need,1
16,0,0.0,2.98,0.644815716432821,1.0,extended_or_integrated_ad,2
16,1,2.98,5.96,0.13374127062846897,1.0,low_ad_need,2
16,2,5.96,8.94,0.01636335196024764,1.0,low_ad_need,2
16,3,8.94,11.92,0.16611218076004208,1.0,low_ad_need,2
16,4,11.92,14.9,0.21339063405335626,1.0,low_ad_need,2
16,5,14.9,16.39,0.05533540867805306,1.0,low_ad_need,1
17,0,0.0,2.98,0.31785759789313806,1.0,low_ad_need,2
17,1,2.98,5.96,0.5085567810193516,1.0,extended_or_integrated_ad,2
17,2,5.96,8.94,0.5781991369169097,0.5,extended_or_integrated_ad,2
17,3,8.94,11.92,0.8025382417134777,1.0,extended_or_integrated_ad,2
17,4,11.92,14.9,0.9897358223989621,1.0,extended_or_integrated_ad,2
17,5,14.9,17.88,0.5208642863381827,1.0,extended_or_integrated_ad,2
17,6,17.88,19.37,0.0,1.0,low_ad_need,1
18,0,0.0,2.98,0.21217950408464048,1.0,low_ad_need,2
18,1,2.98,5.96,0.598216940713403,1.0,extended_or_integrated_ad,2
18,2,5.96,8.94,0.47370538694954023,1.0,extended_or_integrated_ad,2
18,3,8.94,11.92,0.7036559923887971,1.0,extended_or_integrated_ad,2
18,4,11.92,14.9,0.7941592025899242,1.0,extended_or_integrated_ad,2
18,5,14.9,16.39,0.6837089417348918,1.0,extended_or_integrated_ad,1
19,0,0.0,2.98,0.5766175841764636,1.0,extended_or_integrated_ad,2
19,1,2.98,5.96,0.484462384402469,0.0,standard_ad_slot,2
19,2,5.96,8.94,0.44276577040226794,1.0,extended_or_integrated_ad,2
19,3,8.94,11.92,0.3378783645342055,1.0,low_ad_need,2
19,4,11.92,14.9,0.27685450279087725,0.5,low_ad_need,2
19,5,14.9,17.88,0.17918524035907687,0.0,low_ad_need,2
19,6,17.88,20.86,0.03760544131907939,0.5,low_ad_need,2
20,0,0.0,2.98,0.37658393989844424,1.0,low_ad_need,2
20,1,2.98,5.96,0.08774288028214976,1.0,low_ad_need,2
20,2,5.96,8.94,0.16096073137091715,1.0,low_ad_need,2
20,3,8.94,11.92,0.31736579198704573,1.0,low_ad_need,2
20,4,11.92,14.9,0.5864548320043322,1.0,extended_or_integrated_ad,2
20,5,14.9,17.88,0.637072885504075,1.0,extended_or_integrated_ad,2
