clip_idx,video_id,category,tier,gt,adqa_tribe_claude_haiku_4_5_claude_haiku_4_5_score,n_questions,tribe_mean_need
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,0.0,5,0.3883963677748515
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,0.0,5,0.3883963677748515
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,0.0,5,0.3883963677748515
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,0.1,5,0.3883963677748515
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,0.0,5,0.3472245020802409
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,0.2,5,0.3472245020802409
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,0.6,5,0.3472245020802409
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,1.0,5,0.3472245020802409
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,0.0,5,0.3732172811284784
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,0.3,5,0.3732172811284784
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,0.3,5,0.3732172811284784
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,0.4,5,0.3732172811284784
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,0.0,5,0.1987337515089805
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,0.4,5,0.1987337515089805
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,0.3,5,0.1987337515089805
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,0.7,5,0.1987337515089805
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,0.0,5,0.6596447063981404
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,0.2,5,0.6596447063981404
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,0.8,5,0.6596447063981404
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,0.9,5,0.6596447063981404
6,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,0.0,5,0.3976061903273661
6,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,0.0,5,0.3976061903273661
6,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,0.1,5,0.3976061903273661
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,0.3,5,0.3976061903273661
7,09dQut5GJ68_000049_000059,Travel,tier0_cross,0,0.0,5,0.3871231532659878
7,09dQut5GJ68_000049_000059,Travel,tier1_vatex_short,1,0.1,5,0.3871231532659878
7,09dQut5GJ68_000049_000059,Travel,tier2_vatex_long,2,0.1,5,0.3871231532659878
7,09dQut5GJ68_000049_000059,Travel,tier3_va11y,3,0.3,5,0.3871231532659878
8,hOirknJr3os_000001_000011,Travel,tier0_cross,0,0.1,5,0.3789945682630365
8,hOirknJr3os_000001_000011,Travel,tier1_vatex_short,1,0.2,5,0.3789945682630365
8,hOirknJr3os_000001_000011,Travel,tier2_vatex_long,2,0.7,5,0.3789945682630365
8,hOirknJr3os_000001_000011,Travel,tier3_va11y,3,0.9,5,0.3789945682630365
9,TF4q9y0rJoc_000000_000010,Sports,tier0_cross,0,0.0,5,0.5830793296168879
9,TF4q9y0rJoc_000000_000010,Sports,tier1_vatex_short,1,0.4,5,0.5830793296168879
9,TF4q9y0rJoc_000000_000010,Sports,tier2_vatex_long,2,0.6,5,0.5830793296168879
9,TF4q9y0rJoc_000000_000010,Sports,tier3_va11y,3,0.7,5,0.5830793296168879
11,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,0.0,5,0.4782412280361204
11,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,0.5,5,0.4782412280361204
11,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,0.3,5,0.4782412280361204
11,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,0.6,5,0.4782412280361204
12,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,0.0,5,0.5182596900896645
12,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,0.2,5,0.5182596900896645
12,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,0.2,5,0.5182596900896645
12,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,0.5,5,0.5182596900896645
13,KFcH6BYZWhc_000011_000021,Sports,tier0_cross,0,0.0,5,0.3757655783862
13,KFcH6BYZWhc_000011_000021,Sports,tier1_vatex_short,1,0.3,5,0.3757655783862
13,KFcH6BYZWhc_000011_000021,Sports,tier2_vatex_long,2,0.7,5,0.3757655783862
13,KFcH6BYZWhc_000011_000021,Sports,tier3_va11y,3,0.9,5,0.3757655783862
14,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,0.0,5,0.4003728105074168
14,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,0.6,5,0.4003728105074168
14,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,0.8,5,0.4003728105074168
14,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,1.0,5,0.4003728105074168
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,0.0,5,0.5596241940798036
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,0.3,5,0.5596241940798036
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,0.3,5,0.5596241940798036
15,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,0.4,5,0.5596241940798036
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier0_cross,0,0.0,5,0.2185619742134476
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier1_vatex_short,1,0.4,5,0.2185619742134476
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier2_vatex_long,2,0.6,5,0.2185619742134476
16,kOf-vl-GmVI_000115_000125,Pets & Animals,tier3_va11y,3,0.8,5,0.2185619742134476
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,0.3,5,0.5719618255815417
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,0.3,5,0.5719618255815417
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,0.5,5,0.5719618255815417
17,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,0.5,5,0.5719618255815417
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier0_cross,0,0.0,5,0.5679584541079548
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier1_vatex_short,1,0.1,5,0.5679584541079548
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier2_vatex_long,2,0.5,5,0.5679584541079548
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,tier3_va11y,3,0.9,5,0.5679584541079548
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,0.0,5,0.333624183997777
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,0.1,5,0.333624183997777
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,0.4,5,0.333624183997777
19,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,1.0,5,0.333624183997777
