target,feature,feature_kind,direction,auc_oriented,average_precision,positives,n
clip_mean_norm_low_tier3_margin_lt_0.05,tier3_va11y_words,cheap_baseline,high,0.5,0.5795060331825037,8,18
clip_mean_norm_tier2_tier1_inversion,pro_minus_long_words,cheap_baseline,low,0.7615384615384615,0.712156862745098,5,18
clip_mean_norm_tier2_tier1_inversion,tier3_va11y_words,cheap_baseline,low,0.7538461538461538,0.5866666666666667,5,18
clip_mean_norm_tier2_tier1_inversion,pro_minus_short_words,cheap_baseline,low,0.7538461538461538,0.5666666666666667,5,18
clip_mean_norm_tier2_tier1_inversion,tier1_vatex_short_words,cheap_baseline,high,0.676923076923077,0.6142857142857143,5,18
clip_mean_norm_tier2_tier1_inversion,max_need,TRIBE,low,0.6307692307692307,0.5209415584415584,5,18
clip_mean_norm_tier2_tier1_inversion,mean_extended_need_score,TRIBE,low,0.5846153846153846,0.37463369963369964,5,18
clip_mean_norm_tier2_tier1_inversion,tier2_vatex_long_words,cheap_baseline,low,0.5692307692307692,0.33214285714285713,5,18
clip_mean_norm_tier2_tier1_inversion,high_need_frac,TRIBE,low,0.5615384615384615,0.35409479409479405,5,18
clip_mean_norm_tier2_tier1_inversion,high_need_seconds_frac,TRIBE,low,0.5538461538461539,0.35409479409479416,5,18
clip_mean_norm_tier2_tier1_inversion,mean_need,TRIBE,low,0.5384615384615385,0.35409479409479405,5,18
clip_mean_norm_tier2_tier1_inversion,tribe_pressure,TRIBE,low,0.5384615384615384,0.44803418803418804,5,18
clip_mean_norm_tier2_tier1_inversion,duration_s,cheap_baseline,high,0.5307692307692308,0.4355555555555556,5,18
clip_mean_norm_tier2_tier1_inversion,mean_speech_density,TRIBE,high,0.5307692307692308,0.30549019607843136,5,18
clip_mean_norm_tier2_tier1_inversion,need_entropy,TRIBE,high,0.5230769230769231,0.35215686274509805,5,18
clip_mean_norm_tier2_tier1_inversion,mean_standard_slot_score,TRIBE,low,0.5153846153846154,0.3022222222222222,5,18
clip_mean_norm_tier2_tier1_inversion,extended_seconds_frac,TRIBE,high,0.5076923076923077,0.30992063492063493,5,18
selected3_mean_full_order_fail,mean_standard_slot_score,TRIBE,high,1.0,1.0,2,18
selected3_mean_full_order_fail,mean_speech_density,TRIBE,low,0.9375,0.5833333333333333,2,18
selected3_mean_full_order_fail,high_need_seconds_frac,TRIBE,high,0.78125,0.29166666666666663,2,18
selected3_mean_full_order_fail,high_need_frac,TRIBE,high,0.765625,0.25,2,18
selected3_mean_full_order_fail,mean_extended_need_score,TRIBE,low,0.75,0.26785714285714285,2,18
selected3_mean_full_order_fail,mean_need,TRIBE,high,0.75,0.26666666666666666,2,18
selected3_mean_full_order_fail,tribe_pressure,TRIBE,high,0.75,0.26666666666666666,2,18
selected3_mean_full_order_fail,pro_minus_long_words,cheap_baseline,high,0.734375,0.35,2,18
selected3_mean_full_order_fail,duration_s,cheap_baseline,high,0.71875,0.5625,2,18
selected3_mean_full_order_fail,max_need,TRIBE,high,0.71875,0.2777777777777778,2,18
selected3_mean_full_order_fail,pro_minus_short_words,cheap_baseline,high,0.671875,0.225,2,18
selected3_mean_full_order_fail,extended_seconds_frac,TRIBE,high,0.671875,0.20833333333333331,2,18
selected3_mean_full_order_fail,tier3_va11y_words,cheap_baseline,high,0.625,0.2159090909090909,2,18
selected3_mean_full_order_fail,tier1_vatex_short_words,cheap_baseline,low,0.59375,0.18181818181818182,2,18
selected3_mean_full_order_fail,tier2_vatex_long_words,cheap_baseline,low,0.546875,0.1625,2,18
selected3_mean_full_order_fail,need_entropy,TRIBE,high,0.5,0.15555555555555556,2,18
selected3_mean_low_tier3_margin_lt_0.05,mean_standard_slot_score,TRIBE,high,0.9411764705882353,0.5,1,18
selected3_mean_low_tier3_margin_lt_0.05,high_need_seconds_frac,TRIBE,high,0.9411764705882353,0.3333333333333333,1,18
selected3_mean_low_tier3_margin_lt_0.05,high_need_frac,TRIBE,high,0.9117647058823529,0.25,1,18
selected3_mean_low_tier3_margin_lt_0.05,mean_speech_density,TRIBE,low,0.8823529411764706,0.3333333333333333,1,18
selected3_mean_low_tier3_margin_lt_0.05,mean_need,TRIBE,high,0.7647058823529411,0.2,1,18
selected3_mean_low_tier3_margin_lt_0.05,tribe_pressure,TRIBE,high,0.7647058823529411,0.2,1,18
selected3_mean_low_tier3_margin_lt_0.05,extended_seconds_frac,TRIBE,high,0.7352941176470589,0.16666666666666666,1,18
selected3_mean_low_tier3_margin_lt_0.05,mean_extended_need_score,TRIBE,low,0.6470588235294118,0.14285714285714285,1,18
selected3_mean_low_tier3_margin_lt_0.05,tier3_va11y_words,cheap_baseline,low,0.5882352941176471,0.125,1,18
selected3_mean_low_tier3_margin_lt_0.05,duration_s,cheap_baseline,low,0.5882352941176471,0.07692307692307693,1,18
selected3_mean_low_tier3_margin_lt_0.05,tier1_vatex_short_words,cheap_baseline,low,0.588235294117647,0.09090909090909091,1,18
selected3_mean_low_tier3_margin_lt_0.05,max_need,TRIBE,high,0.5294117647058824,0.1111111111111111,1,18
selected3_mean_low_tier3_margin_lt_0.05,need_entropy,TRIBE,high,0.5294117647058824,0.1111111111111111,1,18
selected3_mean_low_tier3_margin_lt_0.05,pro_minus_short_words,cheap_baseline,high,0.5,0.1,1,18
selected3_mean_low_tier3_margin_lt_0.05,pro_minus_long_words,cheap_baseline,high,0.5,0.1,1,18
selected3_mean_low_tier3_margin_lt_0.05,tier2_vatex_long_words,cheap_baseline,high,0.5,0.1,1,18
selected3_mean_tier2_tier1_inversion,mean_standard_slot_score,TRIBE,high,1.0,1.0,1,18
selected3_mean_tier2_tier1_inversion,duration_s,cheap_baseline,high,1.0,1.0,1,18
selected3_mean_tier2_tier1_inversion,mean_speech_density,TRIBE,low,0.9411764705882353,0.5,1,18
selected3_mean_tier2_tier1_inversion,pro_minus_long_words,cheap_baseline,high,0.9411764705882353,0.5,1,18
selected3_mean_tier2_tier1_inversion,max_need,TRIBE,high,0.8823529411764706,0.3333333333333333,1,18
selected3_mean_tier2_tier1_inversion,mean_extended_need_score,TRIBE,low,0.8235294117647058,0.25,1,18
selected3_mean_tier2_tier1_inversion,tier3_va11y_words,cheap_baseline,high,0.8235294117647058,0.25,1,18
selected3_mean_tier2_tier1_inversion,pro_minus_short_words,cheap_baseline,high,0.8235294117647058,0.25,1,18
selected3_mean_tier2_tier1_inversion,mean_need,TRIBE,high,0.7058823529411764,0.16666666666666666,1,18
selected3_mean_tier2_tier1_inversion,tribe_pressure,TRIBE,high,0.7058823529411764,0.16666666666666666,1,18
selected3_mean_tier2_tier1_inversion,high_need_seconds_frac,TRIBE,high,0.5882352941176471,0.125,1,18
selected3_mean_tier2_tier1_inversion,high_need_frac,TRIBE,high,0.5882352941176471,0.125,1,18
selected3_mean_tier2_tier1_inversion,extended_seconds_frac,TRIBE,high,0.5882352941176471,0.125,1,18
selected3_mean_tier2_tier1_inversion,tier2_vatex_long_words,cheap_baseline,low,0.5882352941176471,0.125,1,18
selected3_mean_tier2_tier1_inversion,tier1_vatex_short_words,cheap_baseline,low,0.588235294117647,0.09090909090909091,1,18
selected3_mean_tier2_tier1_inversion,need_entropy,TRIBE,low,0.5294117647058824,0.1111111111111111,1,18
strict_all4_80adqa_20clip_full_order_fail,need_entropy,TRIBE,high,0.6875,0.26666666666666666,2,18
strict_all4_80adqa_20clip_full_order_fail,mean_standard_slot_score,TRIBE,high,0.640625,0.5555555555555556,2,18
strict_all4_80adqa_20clip_full_order_fail,extended_seconds_frac,TRIBE,high,0.625,0.19642857142857142,2,18
strict_all4_80adqa_20clip_full_order_fail,tribe_pressure,TRIBE,high,0.625,0.19444444444444442,2,18
strict_all4_80adqa_20clip_full_order_fail,mean_speech_density,TRIBE,low,0.609375,0.3055555555555556,2,18
strict_all4_80adqa_20clip_full_order_fail,mean_need,TRIBE,high,0.59375,0.18333333333333335,2,18
strict_all4_80adqa_20clip_full_order_fail,tier1_vatex_short_words,cheap_baseline,low,0.59375,0.18181818181818182,2,18
strict_all4_80adqa_20clip_full_order_fail,mean_extended_need_score,TRIBE,low,0.5625,0.20192307692307693,2,18
strict_all4_80adqa_20clip_full_order_fail,high_need_seconds_frac,TRIBE,high,0.5625,0.1736111111111111,2,18
strict_all4_80adqa_20clip_full_order_fail,high_need_frac,TRIBE,high,0.5625,0.1736111111111111,2,18
strict_all4_80adqa_20clip_full_order_fail,tier3_va11y_words,cheap_baseline,low,0.546875,0.23333333333333334,2,18
strict_all4_80adqa_20clip_full_order_fail,pro_minus_long_words,cheap_baseline,low,0.53125,0.5588235294117647,2,18
strict_all4_80adqa_20clip_full_order_fail,max_need,TRIBE,high,0.53125,0.23333333333333334,2,18
strict_all4_80adqa_20clip_full_order_fail,pro_minus_short_words,cheap_baseline,low,0.53125,0.23333333333333334,2,18
strict_all4_80adqa_20clip_full_order_fail,tier2_vatex_long_words,cheap_baseline,high,0.53125,0.16233766233766234,2,18
strict_all4_80adqa_20clip_full_order_fail,duration_s,cheap_baseline,high,0.515625,0.5555555555555556,2,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,mean_standard_slot_score,TRIBE,high,0.9411764705882353,0.5,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,high_need_seconds_frac,TRIBE,high,0.9411764705882353,0.3333333333333333,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,high_need_frac,TRIBE,high,0.9117647058823529,0.25,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,mean_speech_density,TRIBE,low,0.8823529411764706,0.3333333333333333,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,mean_need,TRIBE,high,0.7647058823529411,0.2,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,tribe_pressure,TRIBE,high,0.7647058823529411,0.2,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,extended_seconds_frac,TRIBE,high,0.7352941176470589,0.16666666666666666,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,mean_extended_need_score,TRIBE,low,0.6470588235294118,0.14285714285714285,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,tier3_va11y_words,cheap_baseline,low,0.5882352941176471,0.125,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,duration_s,cheap_baseline,low,0.5882352941176471,0.07692307692307693,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,tier1_vatex_short_words,cheap_baseline,low,0.588235294117647,0.09090909090909091,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,max_need,TRIBE,high,0.5294117647058824,0.1111111111111111,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,need_entropy,TRIBE,high,0.5294117647058824,0.1111111111111111,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,pro_minus_short_words,cheap_baseline,high,0.5,0.1,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,pro_minus_long_words,cheap_baseline,high,0.5,0.1,1,18
strict_all4_80adqa_20clip_low_tier3_margin_lt_0.05,tier2_vatex_long_words,cheap_baseline,high,0.5,0.1,1,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,need_entropy,TRIBE,high,0.6875,0.26666666666666666,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,mean_standard_slot_score,TRIBE,high,0.640625,0.5555555555555556,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,extended_seconds_frac,TRIBE,high,0.625,0.19642857142857142,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,tribe_pressure,TRIBE,high,0.625,0.19444444444444442,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,mean_speech_density,TRIBE,low,0.609375,0.3055555555555556,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,mean_need,TRIBE,high,0.59375,0.18333333333333335,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,tier1_vatex_short_words,cheap_baseline,low,0.59375,0.18181818181818182,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,mean_extended_need_score,TRIBE,low,0.5625,0.20192307692307693,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,high_need_seconds_frac,TRIBE,high,0.5625,0.1736111111111111,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,high_need_frac,TRIBE,high,0.5625,0.1736111111111111,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,tier3_va11y_words,cheap_baseline,low,0.546875,0.23333333333333334,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,pro_minus_long_words,cheap_baseline,low,0.53125,0.5588235294117647,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,max_need,TRIBE,high,0.53125,0.23333333333333334,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,pro_minus_short_words,cheap_baseline,low,0.53125,0.23333333333333334,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,tier2_vatex_long_words,cheap_baseline,high,0.53125,0.16233766233766234,2,18
strict_all4_80adqa_20clip_tier2_tier1_inversion,duration_s,cheap_baseline,high,0.515625,0.5555555555555556,2,18
vlm_best_dims_mean_full_order_fail,mean_standard_slot_score,TRIBE,high,0.90625,0.7,2,18
vlm_best_dims_mean_full_order_fail,mean_speech_density,TRIBE,low,0.84375,0.41666666666666663,2,18
vlm_best_dims_mean_full_order_fail,pro_minus_long_words,cheap_baseline,high,0.84375,0.41666666666666663,2,18
vlm_best_dims_mean_full_order_fail,mean_extended_need_score,TRIBE,low,0.8125,0.325,2,18
vlm_best_dims_mean_full_order_fail,duration_s,cheap_baseline,high,0.71875,0.5625,2,18
vlm_best_dims_mean_full_order_fail,high_need_seconds_frac,TRIBE,low,0.703125,0.34090909090909094,2,18
vlm_best_dims_mean_full_order_fail,high_need_frac,TRIBE,low,0.703125,0.34090909090909094,2,18
vlm_best_dims_mean_full_order_fail,extended_seconds_frac,TRIBE,low,0.703125,0.34090909090909094,2,18
vlm_best_dims_mean_full_order_fail,max_need,TRIBE,high,0.6875,0.26666666666666666,2,18
vlm_best_dims_mean_full_order_fail,tier2_vatex_long_words,cheap_baseline,low,0.671875,0.19642857142857142,2,18
vlm_best_dims_mean_full_order_fail,tier3_va11y_words,cheap_baseline,high,0.65625,0.225,2,18
vlm_best_dims_mean_full_order_fail,need_entropy,TRIBE,low,0.625,0.19444444444444442,2,18
vlm_best_dims_mean_full_order_fail,tier1_vatex_short_words,cheap_baseline,high,0.625,0.17142857142857143,2,18
vlm_best_dims_mean_full_order_fail,pro_minus_short_words,cheap_baseline,high,0.609375,0.20833333333333331,2,18
vlm_best_dims_mean_full_order_fail,tribe_pressure,TRIBE,low,0.5625,0.20192307692307693,2,18
vlm_best_dims_mean_full_order_fail,mean_need,TRIBE,low,0.53125,0.17692307692307693,2,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,mean_need,TRIBE,high,1.0,1.0,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,tribe_pressure,TRIBE,high,1.0,1.0,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,mean_extended_need_score,TRIBE,high,1.0,1.0,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,extended_seconds_frac,TRIBE,high,0.9705882352941176,0.5,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,tier2_vatex_long_words,cheap_baseline,high,0.9411764705882353,0.5,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,high_need_seconds_frac,TRIBE,high,0.9411764705882353,0.3333333333333333,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,high_need_frac,TRIBE,high,0.9117647058823529,0.25,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,max_need,TRIBE,high,0.8235294117647058,0.25,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,pro_minus_short_words,cheap_baseline,high,0.7352941176470589,0.16666666666666666,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,mean_standard_slot_score,TRIBE,low,0.7352941176470589,0.1,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,mean_speech_density,TRIBE,high,0.7352941176470589,0.1,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,tier3_va11y_words,cheap_baseline,high,0.6764705882352942,0.14285714285714285,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,need_entropy,TRIBE,high,0.6470588235294117,0.14285714285714285,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,duration_s,cheap_baseline,low,0.5882352941176471,0.07692307692307693,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,tier1_vatex_short_words,cheap_baseline,low,0.588235294117647,0.09090909090909091,1,18
vlm_best_dims_mean_low_tier3_margin_lt_0.05,pro_minus_long_words,cheap_baseline,high,0.5,0.1,1,18
vlm_best_dims_mean_tier2_tier1_inversion,mean_standard_slot_score,TRIBE,high,0.90625,0.7,2,18
vlm_best_dims_mean_tier2_tier1_inversion,mean_speech_density,TRIBE,low,0.84375,0.41666666666666663,2,18
vlm_best_dims_mean_tier2_tier1_inversion,pro_minus_long_words,cheap_baseline,high,0.84375,0.41666666666666663,2,18
vlm_best_dims_mean_tier2_tier1_inversion,mean_extended_need_score,TRIBE,low,0.8125,0.325,2,18
vlm_best_dims_mean_tier2_tier1_inversion,duration_s,cheap_baseline,high,0.71875,0.5625,2,18
vlm_best_dims_mean_tier2_tier1_inversion,high_need_seconds_frac,TRIBE,low,0.703125,0.34090909090909094,2,18
vlm_best_dims_mean_tier2_tier1_inversion,high_need_frac,TRIBE,low,0.703125,0.34090909090909094,2,18
vlm_best_dims_mean_tier2_tier1_inversion,extended_seconds_frac,TRIBE,low,0.703125,0.34090909090909094,2,18
vlm_best_dims_mean_tier2_tier1_inversion,max_need,TRIBE,high,0.6875,0.26666666666666666,2,18
vlm_best_dims_mean_tier2_tier1_inversion,tier2_vatex_long_words,cheap_baseline,low,0.671875,0.19642857142857142,2,18
vlm_best_dims_mean_tier2_tier1_inversion,tier3_va11y_words,cheap_baseline,high,0.65625,0.225,2,18
vlm_best_dims_mean_tier2_tier1_inversion,need_entropy,TRIBE,low,0.625,0.19444444444444442,2,18
vlm_best_dims_mean_tier2_tier1_inversion,tier1_vatex_short_words,cheap_baseline,high,0.625,0.17142857142857143,2,18
vlm_best_dims_mean_tier2_tier1_inversion,pro_minus_short_words,cheap_baseline,high,0.609375,0.20833333333333331,2,18
vlm_best_dims_mean_tier2_tier1_inversion,tribe_pressure,TRIBE,low,0.5625,0.20192307692307693,2,18
vlm_best_dims_mean_tier2_tier1_inversion,mean_need,TRIBE,low,0.53125,0.17692307692307693,2,18
